IndID	Sex	Source	Region	Population	Ancestry	AncestryOriginal	IndLab	Recruitment	Reps	AFR	EUR	AYMARA	CHILE_SUR	AMERINDIO
SJ-36	M	PatagoniaDNA	LLS	Osorno	Chile_Sur	Huilliche	SJ-36	SJ	1	1e-05	1e-05	1e-05	0.99996	0.99997
SJ-61	M	PatagoniaDNA	LLS	Osorno	Chile_Sur	Huilliche	SJ-61	SJ	1	1e-05	1e-05	1e-05	0.99996	0.99997
SJ-65	M	PatagoniaDNA	LLS	Osorno	Chile_Sur	Huilliche	SJ-65	SJ	1	1e-05	1e-05	1e-05	0.99996	0.99997
SJ-66	M	PatagoniaDNA	LLS	Osorno	Chile_Sur	Huilliche	SJ-66	SJ	1	1e-05	1e-05	1e-05	0.99996	0.99997
SJ-70	M	PatagoniaDNA	LLS	Osorno	Chile_Sur	Huilliche	SJ-70	SJ	1	1e-05	1e-05	1e-05	0.99996	0.99997
SJ-71	M	PatagoniaDNA	LLS	Osorno	Chile_Sur	Huilliche	SJ-71	SJ	1	1e-05	1e-05	1e-05	0.99996	0.99997
SJ-87	M	PatagoniaDNA	LLS	Osorno	Chile_Sur	Huilliche	SJ-87	SJ	1	1e-05	1e-05	1e-05	0.99996	0.99997
SJ-96	M	PatagoniaDNA	LLS	Osorno	Chile_Sur	Huilliche	SJ-96	SJ	1	1e-05	1e-05	1e-05	0.99996	0.99997
SJ-99	M	PatagoniaDNA	LLS	Osorno	Chile_Sur	Huilliche	SJ-99	SJ	1	1e-05	1e-05	1e-05	0.99996	0.99997
K-11b	M	PatagoniaDNA	PAP	Punta Arenas	Chile_Sur	Kaweskar	K-11b	KAW	1	1e-05	1e-05	1e-05	0.99996	0.99997
TEM-518	M	ChileGenomico	Araucania	Santiago	Chile_Sur	Mapuche	TEM-518	TEM	1	1e-05	1e-05	1.2e-05	0.999958	0.99997
SJ-54	M	PatagoniaDNA	LLS	Osorno	Chile_Sur	Huilliche	SJ-54	SJ	1	1e-05	1e-05	1.4e-05	0.999956	0.99997
CHIQUE-016	M	PatagoniaDNA	Chiloe	Laitec	Chile_Sur	ChiloteS	CHIQUE-016	CHIQUE	1	1e-05	1e-05	1e-05	0.999953	0.999963
SJ-27	M	PatagoniaDNA	LLS	Osorno	Chile_Sur	Huilliche	SJ-27	SJ	1	1e-05	1.3e-05	1e-05	0.99995	0.99996
YAM-005		PatagoniaDNA	FUY	Magallanes	Chile_Sur	Yamana	YAM-005	FUY	1	1e-05	1e-05	0.008499	0.991471	0.99997
TRA-033	M	PatagoniaDNA	BBT	Alto Bio-Bio	Chile_Sur	Pehuenche	TRA-033	TRA	1	1e-05	1e-05	0.013954	0.986016	0.99997
TEM-274	M	ChileGenomico	Araucania	Araucanía	Chile_Sur	Mapuche	TEM-274	TEM	1	1e-05	0.004089	1e-05	0.972139	0.972149
YAM-020		PatagoniaDNA	FUY	Magallanes	Chile_Sur	Yamana	YAM-020	FUY	1	1e-05	1e-05	1e-05	0.968504	0.968514
SJ-16	M	PatagoniaDNA	LLS	Osorno	Chile_Sur	Huilliche	SJ-16	SJ	1	1e-05	0.037652	1e-05	0.962318	0.962328
